no,name,base_name,costume,rarity,weapon_type,cover,role,position,class_type,school,attack_type,defense_type,street_adaptation,outdoor_adaptation,indoor_adaptation,range,equipment1,equipment2,equipment3,recruit_type,obtain_type,icon_file,icon_label,wiki_url
11,キリノ（水着）,キリノ,水着,★1,HG,×,SPECIAL,BACK,サポーター,ヴァルキューレ,神秘,重装甲,3B,3B,3B,1000,シューズ,バッジ,腕時計,-,◇,icon/キリノ（水着）.png,キリノ（水着）,https://bluearchive.wikiru.jp/?%E3%82%AD%E3%83%AA%E3%83%8E%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
12,コタマ,コタマ,,★1,HG,×,SPECIAL,BACK,サポーター,ミレニアム,爆発,軽装備,2A,4C,3B,1000,シューズ,ヘアピン,ネックレス,○,○,icon/コタマ.png,コタマ,https://bluearchive.wikiru.jp/?%E3%82%B3%E3%82%BF%E3%83%9E
13,コトリ,コトリ,,★1,MG,×,STRIKER,BACK,サポーター,ミレニアム,貫通,軽装備,3B,3B,3B,750,シューズ,ヘアピン,ネックレス,○,○,icon/コトリ.png,コトリ,https://bluearchive.wikiru.jp/?%E3%82%B3%E3%83%88%E3%83%AA
14,コハル（水着）,コハル,水着,★1,SR,○,STRIKER,BACK,アタッカー,トリニティ,神秘,重装甲,3B,3B,3B,750,グローブ,ヘアピン,腕時計,-,○,icon/コハル（水着）.png,コハル（水着）,https://bluearchive.wikiru.jp/?%E3%82%B3%E3%83%8F%E3%83%AB%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
15,シズコ（水着）,シズコ,水着,★1,SG,×,SPECIAL,BACK,サポーター,百鬼夜行,神秘,重装甲,3B,3B,3B,1000,シューズ,バッジ,ネックレス,-,○,icon/シズコ（水着）.png,シズコ（水着）,https://bluearchive.wikiru.jp/?%E3%82%B7%E3%82%BA%E3%82%B3%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
16,シミコ,シミコ,,★1,AR,×,SPECIAL,BACK,サポーター,トリニティ,爆発,軽装備,4C,2A,3B,1000,シューズ,ヘアピン,ネックレス,○,○,icon/シミコ.png,シミコ,https://bluearchive.wikiru.jp/?%E3%82%B7%E3%83%9F%E3%82%B3
17,ジュリ,ジュリ,,★1,SG,×,SPECIAL,BACK,サポーター,ゲヘナ,爆発,軽装備,4C,3B,2A,1000,シューズ,ヘアピン,ネックレス,○,○,icon/ジュリ.png,ジュリ,https://bluearchive.wikiru.jp/?%E3%82%B8%E3%83%A5%E3%83%AA
18,ジュンコ（正月）,ジュンコ,正月,★1,AR,○,STRIKER,MIDDLE,アタッカー,ゲヘナ,神秘,重装甲,3B,3B,3B,650,帽子,ヘアピン,腕時計,-,○,icon/ジュンコ（正月）.png,ジュンコ（正月）,https://bluearchive.wikiru.jp/?%E3%82%B8%E3%83%A5%E3%83%B3%E3%82%B3%EF%BC%88%E6%AD%A3%E6%9C%88%EF%BC%89
19,スズミ,スズミ,,★1,AR,○,STRIKER,MIDDLE,サポーター,トリニティ,爆発,重装甲,3B,3B,3B,650,シューズ,ヘアピン,ネックレス,○,○,icon/スズミ.png,スズミ,https://bluearchive.wikiru.jp/?%E3%82%B9%E3%82%BA%E3%83%9F
20,セリナ,セリナ,,★1,AR,×,SPECIAL,BACK,ヒーラー,トリニティ,神秘,軽装備,2A,4C,3B,1000,シューズ,ヘアピン,ネックレス,○,○,icon/セリナ.png,セリナ,https://bluearchive.wikiru.jp/?%E3%82%BB%E3%83%AA%E3%83%8A
21,チアキ（水着）,チアキ,水着,★1,SR,×,SPECIAL,BACK,アタッカー,ゲヘナ,貫通,重装甲,3B,2A,4C,1000,帽子,ヘアピン,腕時計,-,◇,icon/チアキ（水着）.png,チアキ（水着）,https://bluearchive.wikiru.jp/?%E3%83%81%E3%82%A2%E3%82%AD%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
22,チナツ,チナツ,,★1,HG,×,SPECIAL,BACK,ヒーラー,ゲヘナ,貫通,軽装備,3B,3B,3B,1000,シューズ,ヘアピン,ネックレス,○,○,icon/チナツ.png,チナツ,https://bluearchive.wikiru.jp/?%E3%83%81%E3%83%8A%E3%83%84
23,ツルギ（水着）,ツルギ,水着,★1,SG,×,STRIKER,FRONT,アタッカー,トリニティ,神秘,特殊装甲,3B,4C,2A,450,シューズ,バッグ,お守り,-,○,icon/ツルギ_水着.png,ツルギ_水着,https://bluearchive.wikiru.jp/?%E3%83%84%E3%83%AB%E3%82%AE%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
24,トキ（臨戦）,トキ,臨戦,★1,HG,○,STRIKER,MIDDLE,サポーター,ミレニアム,貫通,軽装備,2A,3B,4C,550,帽子,ヘアピン,ネックレス,-,○,icon/トキ（臨戦）.png,トキ（臨戦）,https://bluearchive.wikiru.jp/?%E3%83%88%E3%82%AD%EF%BC%88%E8%87%A8%E6%88%A6%EF%BC%89
25,トモエ,トモエ,,★1,SR,○,STRIKER,BACK,サポーター,レッドウィンター,貫通,特殊装甲,4C,3B,2A,750,グローブ,バッジ,腕時計,-,○,icon/トモエ_仮icon.png,トモエ_仮icon,https://bluearchive.wikiru.jp/?%E3%83%88%E3%83%A2%E3%82%A8
26,ノドカ,ノドカ,,★1,SMG,×,SPECIAL,BACK,サポーター,レッドウィンター,爆発,重装甲,3B,3B,3B,1000,グローブ,ヘアピン,ネックレス,-,○,icon/ノドカ.png,ノドカ,https://bluearchive.wikiru.jp/?%E3%83%8E%E3%83%89%E3%82%AB
27,ハスミ（体操服）,ハスミ,体操服,★1,SR,○,STRIKER,BACK,アタッカー,トリニティ,神秘,特殊装甲,3B,4C,2A,850,帽子,ヘアピン,腕時計,-,○,icon/ハスミ（体操服）.png,ハスミ（体操服）,https://bluearchive.wikiru.jp/?%E3%83%8F%E3%82%B9%E3%83%9F%EF%BC%88%E4%BD%93%E6%93%8D%E6%9C%8D%EF%BC%89
28,ハルカ,ハルカ,,★1,SG,×,STRIKER,FRONT,タンク,ゲヘナ,爆発,軽装備,4C,3B,2A,350,シューズ,バッグ,お守り,○,○,icon/ハルカ.png,ハルカ,https://bluearchive.wikiru.jp/?%E3%83%8F%E3%83%AB%E3%82%AB
29,ヒビキ（応援団）,ヒビキ,応援団,★1,MT,×,STRIKER,BACK,アタッカー,ミレニアム,爆発,軽装備,3B,4C,2A,850,グローブ,ヘアピン,腕時計,-,○,icon/ヒビキ（応援団）.png,ヒビキ（応援団）,https://bluearchive.wikiru.jp/?%E3%83%92%E3%83%93%E3%82%AD%EF%BC%88%E5%BF%9C%E6%8F%B4%E5%9B%A3%EF%BC%89
30,フィーナ,フィーナ,,★1,MG,×,STRIKER,BACK,アタッカー,百鬼夜行,貫通,軽装備,2A,3B,4C,750,グローブ,ヘアピン,腕時計,○,○,icon/フィーナ.png,フィーナ,https://bluearchive.wikiru.jp/?%E3%83%95%E3%82%A3%E3%83%BC%E3%83%8A
31,フブキ,フブキ,,★1,SR,○,STRIKER,BACK,アタッカー,ヴァルキューレ,貫通,重装甲,2A,3B,4C,750,帽子,ヘアピン,腕時計,-,○,icon/フブキ.png,フブキ,https://bluearchive.wikiru.jp/?%E3%83%95%E3%83%96%E3%82%AD
32,ミチル,ミチル,,★1,SG,×,STRIKER,FRONT,アタッカー,百鬼夜行,神秘,軽装備,3B,3B,3B,450,帽子,ヘアピン,腕時計,-,○,icon/ミチル.png,ミチル,https://bluearchive.wikiru.jp/?%E3%83%9F%E3%83%81%E3%83%AB
33,ミネ（アイドル）,ミネ,アイドル,★1,SG,×,STRIKER,FRONT,タンク,トリニティ,爆発,重装甲,3B,3B,3B,350,シューズ,バッグ,お守り,-,◇,icon/ミネ（アイドル）.png,ミネ（アイドル）,https://bluearchive.wikiru.jp/?%E3%83%9F%E3%83%8D%EF%BC%88%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%EF%BC%89
34,ミユ（水着）,ミユ,水着,★1,SR,×,SPECIAL,BACK,アタッカー,SRT,爆発,軽装備,4C,3B,2A,1000,帽子,ヘアピン,腕時計,-,○,icon/ミユ（水着）.png,ミユ（水着）,https://bluearchive.wikiru.jp/?%E3%83%9F%E3%83%A6%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
35,ユズ（メイド）,ユズ,メイド,★1,GL,×,SPECIAL,BACK,アタッカー,ミレニアム,爆発,弾力装甲,3B,4C,2A,1000,グローブ,バッジ,腕時計,-,○,icon/ユズ（メイド）.png,ユズ（メイド）,https://bluearchive.wikiru.jp/?%E3%83%A6%E3%82%BA%EF%BC%88%E3%83%A1%E3%82%A4%E3%83%89%EF%BC%89
36,ヨシミ,ヨシミ,,★1,AR,×,SPECIAL,BACK,アタッカー,トリニティ,貫通,重装甲,3B,3B,3B,1000,帽子,ヘアピン,腕時計,○,○,icon/ヨシミ.png,ヨシミ,https://bluearchive.wikiru.jp/?%E3%83%A8%E3%82%B7%E3%83%9F
37,ラブ,ラブ,,★1,SG,×,STRIKER,FRONT,アタッカー,トリニティ,振動,特殊装甲,2A,3B,4C,450,グローブ,ヘアピン,腕時計,-,◇,icon/ラブ.png,ラブ,https://bluearchive.wikiru.jp/?%E3%83%A9%E3%83%96
38,佐天涙子,佐天涙子,,★1,SMG,×,SPECIAL,BACK,アタッカー,柵川中学,貫通,特殊装甲,4C,2A,3B,1500,帽子,バッグ,ネックレス,-,◇,icon/佐天涙子.png,佐天涙子,https://bluearchive.wikiru.jp/?%E4%BD%90%E5%A4%A9%E6%B6%99%E5%AD%90
39,アイリ,アイリ,,★2,SMG,×,SPECIAL,BACK,サポーター,トリニティ,爆発,軽装備,2A,5D,2A,1000,シューズ,ヘアピン,ネックレス,○,○,icon/アイリ.png,アイリ,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%A4%E3%83%AA
40,アカネ,アカネ,,★2,HG,○,STRIKER,MIDDLE,サポーター,ミレニアム,貫通,軽装備,2A,2A,5D,550,シューズ,ヘアピン,ネックレス,○,○,icon/アカネ.png,アカネ,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%AB%E3%83%8D
41,アカリ,アカリ,,★2,AR,○,STRIKER,MIDDLE,アタッカー,ゲヘナ,爆発,重装甲,2A,3B,3B,650,帽子,ヘアピン,腕時計,○,○,icon/アカリ.png,アカリ,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%AB%E3%83%AA
42,アヤネ,アヤネ,,★2,HG,×,SPECIAL,BACK,ヒーラー,アビドス,貫通,軽装備,5D,2A,2A,1000,シューズ,ヘアピン,ネックレス,○,○,icon/アヤネ.png,アヤネ,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%83%A4%E3%83%8D
43,ウタハ,ウタハ,,★2,SMG,×,SPECIAL,BACK,アタッカー,ミレニアム,貫通,重装甲,2A,5D,2A,1000,グローブ,ヘアピン,腕時計,○,○,icon/ウタハ.png,ウタハ,https://bluearchive.wikiru.jp/?%E3%82%A6%E3%82%BF%E3%83%8F
44,カヨコ,カヨコ,,★2,HG,○,STRIKER,MIDDLE,サポーター,ゲヘナ,爆発,重装甲,2A,5D,2A,550,シューズ,ヘアピン,ネックレス,○,○,icon/カヨコ.png,カヨコ,https://bluearchive.wikiru.jp/?%E3%82%AB%E3%83%A8%E3%82%B3
45,キリノ,キリノ,,★2,HG,○,STRIKER,MIDDLE,サポーター,ヴァルキューレ,爆発,特殊装甲,5D,2A,2A,550,シューズ,バッジ,お守り,○,○,icon/キリノ.png,キリノ,https://bluearchive.wikiru.jp/?%E3%82%AD%E3%83%AA%E3%83%8E
46,シズコ,シズコ,,★2,SG,×,SPECIAL,BACK,サポーター,百鬼夜行,神秘,特殊装甲,2A,2A,3B,1000,シューズ,ヘアピン,ネックレス,○,○,icon/シズコ.png,シズコ,https://bluearchive.wikiru.jp/?%E3%82%B7%E3%82%BA%E3%82%B3
47,ジュンコ,ジュンコ,,★2,AR,○,STRIKER,MIDDLE,アタッカー,ゲヘナ,貫通,軽装備,3B,2A,3B,650,帽子,ヘアピン,腕時計,○,○,icon/ジュンコ.png,ジュンコ,https://bluearchive.wikiru.jp/?%E3%82%B8%E3%83%A5%E3%83%B3%E3%82%B3
48,セリカ,セリカ,,★2,AR,○,STRIKER,MIDDLE,アタッカー,アビドス,爆発,軽装備,2A,5D,2A,650,グローブ,ヘアピン,腕時計,○,○,icon/セリカ.png,セリカ,https://bluearchive.wikiru.jp/?%E3%82%BB%E3%83%AA%E3%82%AB
49,チセ,チセ,,★2,GL,○,STRIKER,MIDDLE,アタッカー,百鬼夜行,神秘,重装甲,2A,5D,2A,650,グローブ,ヘアピン,腕時計,○,○,icon/チセ.png,チセ,https://bluearchive.wikiru.jp/?%E3%83%81%E3%82%BB
50,ツバキ,ツバキ,,★2,SMG,×,STRIKER,FRONT,タンク,百鬼夜行,貫通,特殊装甲,2A,2A,5D,350,シューズ,バッグ,お守り,○,○,icon/ツバキ.png,ツバキ,https://bluearchive.wikiru.jp/?%E3%83%84%E3%83%90%E3%82%AD
51,ノノミ,ノノミ,,★2,MG,×,STRIKER,BACK,アタッカー,アビドス,貫通,軽装備,2A,2A,5D,750,帽子,ヘアピン,腕時計,-,○,icon/ノノミ.png,ノノミ,https://bluearchive.wikiru.jp/?%E3%83%8E%E3%83%8E%E3%83%9F
52,ハスミ,ハスミ,,★2,SR,○,STRIKER,BACK,アタッカー,トリニティ,貫通,重装甲,3B,2A,3B,750,帽子,ヘアピン,腕時計,○,○,icon/ハスミ.png,ハスミ,https://bluearchive.wikiru.jp/?%E3%83%8F%E3%82%B9%E3%83%9F
53,ハナエ,ハナエ,,★2,AR,×,SPECIAL,BACK,ヒーラー,トリニティ,爆発,重装甲,2A,5D,2A,1000,シューズ,ヘアピン,ネックレス,○,○,icon/ハナエ.png,ハナエ,https://bluearchive.wikiru.jp/?%E3%83%8F%E3%83%8A%E3%82%A8
54,ハナコ,ハナコ,,★2,AR,×,SPECIAL,BACK,ヒーラー,トリニティ,貫通,特殊装甲,2A,5D,2A,1000,シューズ,ヘアピン,ネックレス,○,○,icon/ハナコ.png,ハナコ,https://bluearchive.wikiru.jp/?%E3%83%8F%E3%83%8A%E3%82%B3
55,ハレ,ハレ,,★2,AR,×,SPECIAL,BACK,サポーター,ミレニアム,爆発,軽装備,2A,3B,3B,1000,シューズ,ヘアピン,ネックレス,○,○,icon/ハレ.png,ハレ,https://bluearchive.wikiru.jp/?%E3%83%8F%E3%83%AC
56,フウカ,フウカ,,★2,SMG,×,SPECIAL,BACK,ヒーラー,ゲヘナ,爆発,重装甲,2A,2A,4C,1000,シューズ,ヘアピン,ネックレス,○,○,icon/フウカ.png,フウカ,https://bluearchive.wikiru.jp/?%E3%83%95%E3%82%A6%E3%82%AB
57,マリー,マリー,,★2,HG,×,SPECIAL,BACK,サポーター,トリニティ,神秘,特殊装甲,5D,2A,2A,1000,グローブ,バッグ,ネックレス,○,○,icon/マリー.png,マリー,https://bluearchive.wikiru.jp/?%E3%83%9E%E3%83%AA%E3%83%BC
58,ムツキ,ムツキ,,★2,MG,×,STRIKER,BACK,アタッカー,ゲヘナ,爆発,軽装備,2A,2A,5D,750,帽子,ヘアピン,腕時計,○,○,icon/ムツキ.png,ムツキ,https://bluearchive.wikiru.jp/?%E3%83%A0%E3%83%84%E3%82%AD
59,モミジ,モミジ,,★2,RL,○,STRIKER,BACK,アタッカー,レッドウィンター,振動,重装甲,2A,2A,5D,850,帽子,ヘアピン,腕時計,○,○,icon/モミジ_icon2.png,モミジ_icon2,https://bluearchive.wikiru.jp/?%E3%83%A2%E3%83%9F%E3%82%B8
60,モモイ,モモイ,,★2,AR,○,STRIKER,MIDDLE,アタッカー,ミレニアム,貫通,軽装備,2A,2A,5D,650,シューズ,ヘアピン,腕時計,○,○,icon/モモイ.png,モモイ,https://bluearchive.wikiru.jp/?%E3%83%A2%E3%83%A2%E3%82%A4
61,ユウカ,ユウカ,,★2,SMG,○,STRIKER,FRONT,タンク,ミレニアム,爆発,重装甲,3B,3B,2A,350,シューズ,バッジ,お守り,○,○,icon/ユウカ.png,ユウカ,https://bluearchive.wikiru.jp/?%E3%83%A6%E3%82%A6%E3%82%AB
62,レンゲ（水着）,レンゲ,水着,★2,SR,○,STRIKER,BACK,アタッカー,百鬼夜行,振動,特殊装甲,2A,3B,4C,750,帽子,ヘアピン,腕時計,○,-,icon/レンゲ（水着）.png,レンゲ（水着）,https://bluearchive.wikiru.jp/?%E3%83%AC%E3%83%B3%E3%82%B2%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
63,アカネ（バニーガール）,アカネ,バニーガール,★3,HG,×,SPECIAL,BACK,アタッカー,ミレニアム,神秘,重装甲,3B,5D,1S,1000,帽子,ヘアピン,腕時計,○,-,icon/アカネ（バニーガール）.png,アカネ（バニーガール）,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%AB%E3%83%8D%EF%BC%88%E3%83%90%E3%83%8B%E3%83%BC%E3%82%AC%E3%83%BC%E3%83%AB%EF%BC%89
64,アカネ（制服）,アカネ,制服,★3,HG,×,SPECIAL,BACK,アタッカー,ミレニアム,爆発,軽装備,1S,3B,5D,1000,帽子,バッグ,腕時計,○,-,icon/アカネ（制服）.png,アカネ（制服）,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%AB%E3%83%8D%EF%BC%88%E5%88%B6%E6%9C%8D%EF%BC%89
65,アカリ（正月）,アカリ,正月,★3,AR,×,SPECIAL,BACK,T.S,ゲヘナ,神秘,特殊装甲,3B,1S,5D,1000,シューズ,バッグ,腕時計,○,-,icon/アカリ（正月）.png,アカリ（正月）,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%AB%E3%83%AA%EF%BC%88%E6%AD%A3%E6%9C%88%EF%BC%89
66,アコ,アコ,,★3,HG,×,SPECIAL,BACK,サポーター,ゲヘナ,神秘,重装甲,5D,3B,1S,1000,グローブ,バッジ,ネックレス,●,-,icon/アコ_仮icon.png,アコ_仮icon,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%B3
67,アコ（ドレス）,アコ,ドレス,★3,HG,○,STRIKER,MIDDLE,サポーター,ゲヘナ,爆発,特殊装甲,5D,1S,3B,550,シューズ,ヘアピン,腕時計,◇,-,icon/アコ（ドレス）.png,アコ（ドレス）,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%B3%EF%BC%88%E3%83%89%E3%83%AC%E3%82%B9%EF%BC%89
68,アズサ,アズサ,,★3,AR,○,STRIKER,MIDDLE,アタッカー,トリニティ,爆発,重装甲,3B,5D,1S,650,グローブ,ヘアピン,腕時計,●,○,icon/アズサ.png,アズサ,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%BA%E3%82%B5
69,アズサ（水着）,アズサ,水着,★3,AR,○,STRIKER,MIDDLE,アタッカー,トリニティ,神秘,軽装備,4C,4C,1S,650,グローブ,ヘアピン,腕時計,◇,-,icon/アズサ_水着.png,アズサ_水着,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%BA%E3%82%B5%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
70,アスナ（バニーガール）,アスナ,バニーガール,★3,AR,○,STRIKER,MIDDLE,サポーター,ミレニアム,神秘,軽装備,5D,3B,1S,650,グローブ,バッジ,腕時計,●,○,icon/アスナ（バニーガール）.png,アスナ（バニーガール）,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%B9%E3%83%8A%EF%BC%88%E3%83%90%E3%83%8B%E3%83%BC%E3%82%AC%E3%83%BC%E3%83%AB%EF%BC%89
71,アスナ（制服）,アスナ,制服,★3,AR,○,STRIKER,MIDDLE,サポーター,ミレニアム,爆発,重装甲,3B,1S,5D,650,グローブ,ヘアピン,ネックレス,◇,-,icon/アスナ（制服）.png,アスナ（制服）,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%82%B9%E3%83%8A%EF%BC%88%E5%88%B6%E6%9C%8D%EF%BC%89
72,アツコ,アツコ,,★3,SMG,○,STRIKER,FRONT,タンク,アリウス,爆発,特殊装甲,3B,5D,1S,350,シューズ,バッジ,ネックレス,○,-,icon/アツコ.png,アツコ,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%83%84%E3%82%B3
73,アリス,アリス,,★3,RG,×,STRIKER,BACK,アタッカー,ミレニアム,神秘,特殊装甲,3B,5D,1S,850,帽子,ヘアピン,お守り,●,○,icon/アリス.png,アリス,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%83%AA%E3%82%B9
74,アリス（メイド）,アリス,メイド,★3,RG,×,STRIKER,BACK,アタッカー,ミレニアム,神秘,軽装備,1S,3B,5D,850,帽子,ヘアピン,腕時計,○,-,icon/アリス（メイド）.png,アリス（メイド）,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%83%AA%E3%82%B9%EF%BC%88%E3%83%A1%E3%82%A4%E3%83%89%EF%BC%89
75,アリス（臨戦）,アリス,臨戦,★3,AR,×,STRIKER,MIDDLE,アタッカー,ミレニアム,神秘,複合装甲,1S,5D,2A,650,帽子,ヘアピン,腕時計,☆,-,icon/アリス（臨戦）.png,アリス（臨戦）,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%83%AA%E3%82%B9%EF%BC%88%E8%87%A8%E6%88%A6%EF%BC%89
76,アル,アル,,★3,SR,○,STRIKER,BACK,アタッカー,ゲヘナ,爆発,軽装備,1S,3B,5D,750,帽子,ヘアピン,腕時計,●,○,icon/アル.png,アル,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%83%AB
77,アル（正月）,アル,正月,★3,SR,○,STRIKER,BACK,アタッカー,ゲヘナ,貫通,特殊装甲,5D,3B,1S,750,帽子,ヘアピン,腕時計,◇,-,icon/アル（正月）.png,アル（正月）,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%83%AB%EF%BC%88%E6%AD%A3%E6%9C%88%EF%BC%89
78,アル（ドレス）,アル,ドレス,★3,SR,○,STRIKER,BACK,サポーター,ゲヘナ,貫通,重装甲,5D,3B,1S,750,帽子,ヘアピン,ネックレス,○,-,icon/アル（ドレス）.png,アル（ドレス）,https://bluearchive.wikiru.jp/?%E3%82%A2%E3%83%AB%EF%BC%88%E3%83%89%E3%83%AC%E3%82%B9%EF%BC%89
79,イオリ,イオリ,,★3,SR,○,STRIKER,BACK,アタッカー,ゲヘナ,貫通,重装甲,4C,4C,1S,650,帽子,ヘアピン,腕時計,●,○,icon/イオリ.png,イオリ,https://bluearchive.wikiru.jp/?%E3%82%A4%E3%82%AA%E3%83%AA
80,イオリ（水着）,イオリ,水着,★3,SR,○,STRIKER,BACK,アタッカー,ゲヘナ,爆発,特殊装甲,3B,1S,5D,750,シューズ,バッジ,腕時計,◇,-,icon/イオリ（水着）.png,イオリ（水着）,https://bluearchive.wikiru.jp/?%E3%82%A4%E3%82%AA%E3%83%AA%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
81,イズナ,イズナ,,★3,SMG,○,STRIKER,FRONT,アタッカー,百鬼夜行,神秘,軽装備,1S,3B,5D,450,グローブ,ヘアピン,腕時計,●,○,icon/イズナ.png,イズナ,https://bluearchive.wikiru.jp/?%E3%82%A4%E3%82%BA%E3%83%8A
82,イズナ（水着）,イズナ,水着,★3,SMG,○,STRIKER,FRONT,アタッカー,百鬼夜行,神秘,特殊装甲,5D,3B,1S,450,グローブ,ヘアピン,腕時計,◇,-,icon/イズナ（水着）.png,イズナ（水着）,https://bluearchive.wikiru.jp/?%E3%82%A4%E3%82%BA%E3%83%8A%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
83,イズミ,イズミ,,★3,MG,×,STRIKER,BACK,アタッカー,ゲヘナ,爆発,軽装備,1S,5D,3B,750,グローブ,ヘアピン,腕時計,●,○,icon/イズミ.png,イズミ,https://bluearchive.wikiru.jp/?%E3%82%A4%E3%82%BA%E3%83%9F
